Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
AB;watch tv;;;;;;;;;;;;;;;
AB;watch tv;listen music;;;;;;;;;;;;;;;
AB;watch tv;drink coffe;listen music;;;;;;;;;;;;;;;
AB;read news;;;;;;;;;;;;;;;
AB;read news;watch tv;;;;;;;;;;;;;;;
AB;read news;listen music;watch tv;;;;;;;;;;;;;;;
AB;listen music;;;;;;;;;;;;;;;
AB;listen music;watch tv;;;;;;;;;;;;;;;
AB;listen music;drink coffe;watch tv;;;;;;;;;;;;;;;
AB;drink cofFe;listen music;;;;;;;;;;;;;;;
AB;drink coffe;watch tv;read news;;;;;;;;;;;;;;;
AC;drink coffe;watch tv;read news;;;;;;;;;;;;;;;
AC;listen music;;;;;;;;;;;;;;;
AC;listen music;watch tv;;;;;;;;;;;;;;;
AC;listen music;drink coffe;watch tv;;;;;;;;;;;;;;;
AC;read news;;;;;;;;;;;;;;;
AC;read news;drink coffe;;;;;;;;;;;;;;;
AC;read news;listen music;watch tv;;;;;;;;;;;;;;;
AC;watch tv;;;;;;;;;;;;;;;
AC;watch tv;listen music;;;;;;;;;;;;;;;
AC;watch tv;drink coffe;listen music;;;;;;;;;;;;;;;
CB;watch tv;;;;;;;;;;;;;;;
CB;watch tv;listen music;;;;;;;;;;;;;;;
CB;watch tv;drink coffe;listen music;;;;;;;;;;;;;;;
CB;read news;;;;;;;;;;;;;;;
CB;read news;watch tv;;;;;;;;;;;;;;;
CB;read news;listen music;watch tv;;;;;;;;;;;;;;;
CB;drink coffe;;;;;;;;;;;;;;;
CB;drink coffe;read news;;;;;;;;;;;;;;;
CB;drink coffe;watch tv;read news;;;;;;;;;;;;;;;
CB;listen music;;;;;;;;;;;;;;;
CB;listen music;watch tv;;;;;;;;;;;;;;;
CB;listen music;read news;watch tv;;;;;;;;;;;;;;;
AE;drink cof-fe;;;;;;;;;;;;;;;
AE;drink cof-fe;dri;in;;;;;;;;;;;;;;;
AE;drink cof-fe;dri;co;ffe;;;;;;;;;;;;;;;;
AE;read news;;;;;;;;;;;;;;;
AE;read news;re;ne;ws;;;;;;;;;;;;;;;
AE;read news;re;ad;ne;ws;;;;;;;;;;;;;;;;
AE;lis-ten mu-sic;;;;;;;;;;;;;;;
AE;lis-ten mu-sic;li;sten;;;;;;;;;;;;;;;
AE;lis-ten mu-sic;list;en;mus;ic;;;;;;;;;;;;;;;;
AE;watch tv;;;;;;;;;;;;;;;
AE;watch tv;wa;tch;tv;;;;;;;;;;;;;;;
AE;watch tv;wat;ch;t;v;;;;;;;;;;;;;;;;
BE;drink cof-fe;;;;;;;;;;;;;;;
BE;drink cof-fe;dri;nk;;;;;;;;;;;;;;;
BE;drink cof-fe;dri;co;ffe;;;;;;;;;;;;;;;;
BE;read news;;;;;;;;;;;;;;;
BE;read news;ws;re;;;;;;;;;;;;;;;
BE;read news;re;ad;ne;ws;;;;;;;;;;;;;;;;
BE;lis-ten mu-sic;;;;;;;;;;;;;;;
BE;lis-ten mu-sic;mus;ic;;;;;;;;;;;;;;;
BE;lis-ten mu-sic;list;en;mus;ic;;;;;;;;;;;;;;;;
BE;watch tv;;;;;;;;;;;;;;;
BE;watch tv;tch;wa;t;v;;;;;;;;;;;;;;;
BE;watch tv;wat;ch;t;v;;;;;;;;;;;;;;;;
CE;drink cof-fe;;;;;;;;;;;;;;;
CE;drink cof-fe;dri;nk;;;;;;;;;;;;;;;
CE;drink cof-fe;dri;co;ffe;;;;;;;;;;;;;;;;
CE;read news;;;;;;;;;;;;;;;
CE;read news;ws;re;;;;;;;;;;;;;;;
CE;read news;re;ad;ne;ws;;;;;;;;;;;;;;;;
CE;lis-ten mu-sic;;;;;;;;;;;;;;;
CE;lis-ten mu-sic;mus;ic;;;;;;;;;;;;;;;
CE;lis-ten mu-sic;list;en;mus;ic;;;;;;;;;;;;;;;;
CE;watch tv;;;;;;;;;;;;;;;
CE;watch tv;tch;wa;t;v;;;;;;;;;;;;;;;
CE;watch tv;wat;ch;t;v;;;;;;;;;;;;;;;;
