Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
AB;necklace;scarf;t-shirt;bracelet;;;;;;;;;;;;;;;
AB;belt;purse;umbrela;shoes;;;;;;;;;;;;;;;
AB;hat;tie;socks;umbrela;;;;;;;;;;;;;;;
AB;scarf;bracelet;belt;purse;;;;;;;;;;;;;;;
AB;t-shirt;purse;umbrela;shoes;;;;;;;;;;;;;;;
AB;bracelet;purse;umbrela;socks;;;;;;;;;;;;;;;
AB;purse;umbrela;shoes;hat;;;;;;;;;;;;;;;
AB;umbrela;necklace;scarf;t-shirt;;;;;;;;;;;;;;;
AB;shoes;hat;tie;socks;;;;;;;;;;;;;;;
AB;tie;purse;umbrela;shoes;;;;;;;;;;;;;;;
AB;socks;t-shirt;purse;bracelet;;;;;;;;;;;;;;;
AC;necklace;scarf;t-shirt;bracelet;;;;;;;;;;;;;;;
AC;belt;purse;umbrela;shoes;;;;;;;;;;;;;;;
AC;hat;tie;socks;umbrela;;;;;;;;;;;;;;;
AC;scarf;bracelet;belt;purse;;;;;;;;;;;;;;;
AC;t-shirt;purse;umbrela;shoes;;;;;;;;;;;;;;;
AC;bracelet;purse;umbrela;socks;;;;;;;;;;;;;;;
AC;purse;umbrela;shoes;hat;;;;;;;;;;;;;;;
AC;umbrela;necklace;scarf;t-shirt;;;;;;;;;;;;;;;
AC;shoes;hat;tie;socks;;;;;;;;;;;;;;;
AC;tie;purse;umbrela;shoes;;;;;;;;;;;;;;;
AC;socks;t-shirt;purse;bracelet;;;;;;;;;;;;;;;
CB;necklace;scarf;t-shirt;bracelet;;;;;;;;;;;;;;;
CB;belt;purse;umbrela;shoes;;;;;;;;;;;;;;;
CB;hat;tie;socks;umbrela;;;;;;;;;;;;;;;
CB;scarf;bracelet;belt;purse;;;;;;;;;;;;;;;
CB;t-shirt;purse;umbrela;shoes;;;;;;;;;;;;;;;
CB;bracelet;purse;umbrela;socks;;;;;;;;;;;;;;;
CB;purse;umbrela;shoes;hat;;;;;;;;;;;;;;;
CB;umbrela;necklace;scarf;t-shirt;;;;;;;;;;;;;;;
CB;shoes;hat;tie;socks;;;;;;;;;;;;;;;
CB;tie;purse;umbrela;shoes;;;;;;;;;;;;;;;
CB;socks;t-shirt;purse;bracelet;;;;;;;;;;;;;;;
