Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
AB;book;;;;;;;;;;;;;;;
AB;book;coins;;;;;;;;;;;;;;;
AB;book;money;glasses;;;;;;;;;;;;;;;
AB;pens;;;;;;;;;;;;;;;
AB;pens;bag;;;;;;;;;;;;;;;
AB;pens;bag;desk;;;;;;;;;;;;;;;;
AB;glasses;;;;;;;;;;;;;;;
AB;glasses;desk;;;;;;;;;;;;;;;
AB;glasses;money;cellphone;;;;;;;;;;;;;;;
AB;bag;;;;;;;;;;;;;;;
AB;bag;wallet;;;;;;;;;;;;;;;
AB;bag;wallet;book;;;;;;;;;;;;;;;
AB;wallet;;;;;;;;;;;;;;;
AB;wallet;coins;;;;;;;;;;;;;;;
AB;wallet;book;coins;;;;;;;;;;;;;;;
AB;money;;;;;;;;;;;;;;;
AB;money;wallet;;;;;;;;;;;;;;;
AB;money;coins;wallet;;;;;;;;;;;;;;;
AB;clock;;;;;;;;;;;;;;;
AB;clock;desk;;;;;;;;;;;;;;;
AB;clock;desk;glasses;;;;;;;;;;;;;;;
AB;cellphone;;;;;;;;;;;;;;;
AB;cellphone;wallet;;;;;;;;;;;;;;;
AB;cellphone;desk;money;;;;;;;;;;;;;;;
AB;coins;;;;;;;;;;;;;;;
AB;coins;money;;;;;;;;;;;;;;;
AB;coins;wallet;desk;;;;;;;;;;;;;;;
AB;desk;;;;;;;;;;;;;;;
AB;desk;clock;;;;;;;;;;;;;;;
AB;desk;money;clock;;;;;;;;;;;;;;;
AC;book;;;;;;;;;;;;;;;
AC;book;coins;;;;;;;;;;;;;;;
AC;book;money;glasses;;;;;;;;;;;;;;;
AC;pens;;;;;;;;;;;;;;;
AC;pens;bag;;;;;;;;;;;;;;;
AC;pens;bag;desk;;;;;;;;;;;;;;;;
AC;glasses;;;;;;;;;;;;;;;
AC;glasses;desk;;;;;;;;;;;;;;;
